name,location,properties_hardwareProfile_vmSize
Sample-VM,northeurope,Standard_D2ls_v5
VM-LINUX-01,eastus,Standard_B2als_v2
vm-forcedetachdemo1-1,swedencentral,Standard_B2als_v2
vm-forcedetachdemo1-2,swedencentral,Standard_B2als_v2
vm-forcedetachdemo1-3,swedencentral,Standard_B2als_v2
vmacoademospot,swedencentral,Standard_D2as_v5
vmencrypted1,westcentralus,Standard_D2as_v5
vmtest,westeurope,Standard_D2ps_v5
vmwithhibernationmode,swedencentral,Standard_D2ads_v5
