Storage Account Name,Transactions in 30 Days,Recommendation
czoiuoiuoiuoiuoui,0.0,Consider consolidation or downgrading tier.
finopshub0275wqmmubtdx2s,0.0,Consider consolidation or downgrading tier.
mgmtbadc,0.0,Consider consolidation or downgrading tier.
mgmtbdaa,0.0,Consider consolidation or downgrading tier.
stgaccttest123654,0.0,Consider consolidation or downgrading tier.
