storage_account,ingress,egress,advice
czoiuoiuoiuoiuoui,0.0,0.0,Consider shutting down or downsizing to save costs.
finopshub0275wqmmubtdx2s,0.0,0.0,Consider shutting down or downsizing to save costs.
mgmtbadc,0.0,0.0,Consider shutting down or downsizing to save costs.
mgmtbdaa,0.0,0.0,Consider shutting down or downsizing to save costs.
stgaccttest123654,0.0,0.0,Consider shutting down or downsizing to save costs.
