name,UsedCapacity,Transactions,Ingress,Egress,recommendation
czoiuoiuoiuoiuoui,0.0,0.0,0.0,0.0,Consider decommissioning.
finopshub0275wqmmubtdx2s,0.0,0.0,0.0,0.0,Consider decommissioning.
mgmtbadc,0.0,0.0,0.0,0.0,Consider decommissioning.
mgmtbdaa,0.0,0.0,0.0,0.0,Consider decommissioning.
stgaccttest123654,0.0,0.0,0.0,0.0,Consider decommissioning.
