disk_resource_id,disk_state,disk_size,read_bytes,read_ops,write_bytes,write_ops,recommendation
/subscriptions/38c26c07-ccce-4839-b504-cddac8e5b09d/resourceGroups/acodemos/providers/Microsoft.Compute/disks/hackatonunuseddisk,Unattached,1024,0.0,0.0,0.0,0.0,Consider decommissioning
/subscriptions/38c26c07-ccce-4839-b504-cddac8e5b09d/resourceGroups/MGMT/providers/Microsoft.Compute/disks/VM-LINUX-01_OsDisk_1_765c8e478e9148afa4ba3d2dc370d52e,Reserved,30,13821.46,0.24,57087.28,2.34,Consider resizing
